province,day,type,ACC,POD,FAR,F1,CSI
Busan,1,Model_Pred,95.8564,0.0000,0.0000,0.0000,0.0000
Busan,1,Baseline_Forecast,97.5138,40.0000,0.0000,57.1429,0.4000
Busan,2,Model_Pred,95.8564,0.0000,0.0000,0.0000,0.0000
Busan,2,Baseline_Forecast,97.2376,40.0000,14.2857,54.5455,0.3750
Busan,3,Model_Pred,95.8564,0.0000,0.0000,0.0000,0.0000
Busan,3,Baseline_Forecast,96.9613,40.0000,25.0000,52.1739,0.3529
Chungcheongbuk-do,1,Model_Pred,87.5691,6.2500,0.0000,11.7647,0.0625
Chungcheongbuk-do,1,Baseline_Forecast,91.4365,54.1667,25.7143,62.6506,0.4561
Chungcheongbuk-do,2,Model_Pred,87.8453,8.3333,0.0000,15.3846,0.0833
Chungcheongbuk-do,2,Baseline_Forecast,90.8840,52.0833,28.5714,60.2410,0.4310
Chungcheongbuk-do,3,Model_Pred,87.8453,8.3333,0.0000,15.3846,0.0833
Chungcheongbuk-do,3,Baseline_Forecast,92.2652,56.2500,20.5882,65.8537,0.4909
Chungcheongnam-do,1,Model_Pred,82.0442,5.7971,0.0000,10.9589,0.0580
Chungcheongnam-do,1,Baseline_Forecast,91.7127,66.6667,13.2075,75.4098,0.6053
Chungcheongnam-do,2,Model_Pred,82.0442,5.7971,0.0000,10.9589,0.0580
Chungcheongnam-do,2,Baseline_Forecast,91.1602,65.2174,15.0943,73.7705,0.5844
Chungcheongnam-do,3,Model_Pred,82.0442,5.7971,0.0000,10.9589,0.0580
Chungcheongnam-do,3,Baseline_Forecast,91.1602,69.5652,18.6441,75.0000,0.6000
Daejeon,1,Model_Pred,97.2376,0.0000,0.0000,0.0000,0.0000
Daejeon,1,Baseline_Forecast,95.0276,80.0000,66.6667,47.0588,0.3077
Daejeon,2,Model_Pred,97.5138,20.0000,33.3333,30.7692,0.1818
Daejeon,2,Baseline_Forecast,94.1989,70.0000,72.0000,40.0000,0.2500
Daejeon,3,Model_Pred,96.9613,10.0000,66.6667,15.3846,0.0833
Daejeon,3,Baseline_Forecast,94.7514,50.0000,73.6842,34.4828,0.2083
Gangwon-do,1,Model_Pred,83.7017,6.3492,0.0000,11.9403,0.0635
Gangwon-do,1,Baseline_Forecast,93.9227,73.0159,9.8039,80.7018,0.6765
Gangwon-do,2,Model_Pred,83.7017,6.3492,0.0000,11.9403,0.0635
Gangwon-do,2,Baseline_Forecast,93.9227,73.0159,9.8039,80.7018,0.6765
Gangwon-do,3,Model_Pred,83.7017,6.3492,0.0000,11.9403,0.0635
Gangwon-do,3,Baseline_Forecast,93.3702,74.6032,14.5455,79.6610,0.6620
Gyeonggi-do,1,Model_Pred,81.7680,5.7143,0.0000,10.8108,0.0571
Gyeonggi-do,1,Baseline_Forecast,94.4751,84.2857,13.2353,85.5072,0.7468
Gyeonggi-do,2,Model_Pred,81.7680,5.7143,0.0000,10.8108,0.0571
Gyeonggi-do,2,Baseline_Forecast,94.1989,81.4286,12.3077,84.4444,0.7308
Gyeonggi-do,3,Model_Pred,81.4917,4.2857,0.0000,8.2192,0.0429
Gyeonggi-do,3,Baseline_Forecast,93.0939,75.7143,13.1148,80.9160,0.6795
Gyeongsangbuk-do,1,Model_Pred,83.7017,4.8387,0.0000,9.2308,0.0484
Gyeongsangbuk-do,1,Baseline_Forecast,91.1602,56.4516,12.5000,68.6275,0.5224
Gyeongsangbuk-do,2,Model_Pred,84.2541,8.0645,0.0000,14.9254,0.0806
